"entry","type","content_default","content_loc3"
-46,"EMOTE","%s becomes enraged!","%s gerät in Raserei!"
-47,"EMOTE","%s attempts to run away in fear!","%s versucht zu flüchten!"
-213,"SAY","Crush!","Zermalmen!"
-214,"SAY","Kill!","Töten!"
-215,"SAY","Destroy!","Zerstören!"
-228,"SAY","I gonna make you into mojo!","Ich mache Euch zu Mojo!"
-229,"SAY","Killing you be easy.","Euch zu töten wird einfach."
-230,"SAY","You be dead soon!","Ihr werdet schon bald tot sein!"
-231,"SAY","I'll cut you!","Ich werde Euch aufschlitzen!"
-321,"SAY","Killing you be easy.","Dich zu töten wird einfach."
-322,"SAY","You be dead soon!","Gleich bist du tot."
-323,"SAY","You dare defile Frostmane Hold, $R. Prepare to die!","Du wagst es die Frostmähnen zu entweihen, $R. Bereite dich auf deinen Tot vor!"
-324,"SAY","Time to bash!","Zeit jemanden zu verprügeln!"
